Country,Continent,Age Group,Suicide Rate
Ireland,Europe,55-59,14.9
Israel,Asia,55-59,10
Italy,Europe,55-59,8.4
Japan,Asia,55-59,20.2
Korea,Asia,55-59,31.8
Latvia,Europe,55-59,19
Lithuania,Europe,55-59,26.5
Luxembourg,Europe,55-59,4.5
Netherlands,Europe,55-59,15.6
Norway,Europe,55-59,17.9
Poland,Europe,55-59,17.5
Portugal,Europe,55-59,13.6
Slovak Republic,Europe,55-59,12
Slovenia,Europe,55-59,17.2
Spain,Europe,55-59,11.8
Sweden,Europe,55-59,21.6
Switzerland,Europe,55-59,15.2
Turkey,Asia,55-59,5.4
United Kingdom,Europe,55-59,11.1
Austria,Europe,60-64,17.1
Belgium,Europe,60-64,22
Czech Republic,Europe,60-64,13.4
Denmark,Europe,60-64,14.5
Estonia,Europe,60-64,14
Finland,Europe,60-64,16.7
France,Europe,60-64,17
Germany,Europe,60-64,14.1
Greece,Europe,60-64,7.2
Hungary,Europe,60-64,26.3
Iceland,Europe,60-64,19.1
Ireland,Europe,60-64,14.8
Israel,Asia,60-64,4
Italy,Europe,60-64,8.4
Japan,Asia,60-64,18.9
Korea,Asia,60-64,29.7
Latvia,Europe,60-64,14.9
Lithuania,Europe,60-64,33.6
Luxembourg,Europe,60-64,8.3
Netherlands,Europe,60-64,14.8
Norway,Europe,60-64,15
Poland,Europe,60-64,18.6
Portugal,Europe,60-64,12.6
Slovak Republic,Europe,60-64,8.5
Slovenia,Europe,60-64,20.8
Spain,Europe,60-64,11.7
Sweden,Europe,60-64,16.6
Switzerland,Europe,60-64,17.1
Turkey,Asia,60-64,4.6
United Kingdom,Europe,60-64,9.7
Austria,Europe,65-69,15.7
Belgium,Europe,65-69,22
Czech Republic,Europe,65-69,12.8
Denmark,Europe,65-69,14.4
Estonia,Europe,65-69,28
Finland,Europe,65-69,10.7
France,Europe,65-69,16.9
Germany,Europe,65-69,14.1
Greece,Europe,65-69,5.4
Hungary,Europe,65-69,21.1
Iceland,Europe,65-69,16.9
Ireland,Europe,65-69,12.5
Israel,Asia,65-69,7.5
Italy,Europe,65-69,8.4
Japan,Asia,65-69,16
Korea,Asia,65-69,30.6
Latvia,Europe,65-69,14.3
Lithuania,Europe,65-69,25.6
Luxembourg,Europe,65-69,13.9
Netherlands,Europe,65-69,11.5
Norway,Europe,65-69,9.4
Poland,Europe,65-69,15.5
Portugal,Europe,65-69,11.9
Slovak Republic,Europe,65-69,9.9
Slovenia,Europe,65-69,28.8
Spain,Europe,65-69,9.4
Sweden,Europe,65-69,15.5
Switzerland,Europe,65-69,14.8
Turkey,Asia,65-69,4.4
United Kingdom,Europe,65-69,7.1
Austria,Europe,70-74,21.1
Belgium,Europe,70-74,19.8
Czech Republic,Europe,70-74,19.6
Denmark,Europe,70-74,15.5
Estonia,Europe,70-74,22.4
Finland,Europe,70-74,13.1
France,Europe,70-74,16.2
Germany,Europe,70-74,14.6
Greece,Europe,70-74,4.4
Hungary,Europe,70-74,25.5
Iceland,Europe,70-74,6.9
Ireland,Europe,70-74,7.3
Israel,Asia,70-74,9.2
Italy,Europe,70-74,9.1
Japan,Asia,70-74,17.2
Korea,Asia,70-74,34.2
Latvia,Europe,70-74,13.7
Lithuania,Europe,70-74,33.6
